Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",12.022827476611855,7.706659952424771,10.171123530910018,3.1634286589607905,61986,2,3
"[1, 1, 0, 0, 1]",10.111824974990707,8.397694734770969,9.987405475436704,2.8962283403526676,11670,3,2
"[1, 1, 0, 1, 0]",10.111345262176977,8.831789910056235,10.145322488019197,3.310783454938556,27208,3,2
"[1, 1, 0, 1, 1]",7.447841532440167,8.945121019959783,10.133655544387821,3.2055050943648355,55535,4,1
"[1, 1, 1, 0, 0]",10.505940985592744,8.81879740319368,10.293185891786282,3.371445939097814,82920,3,2
"[1, 1, 1, 0, 1]",7.380302903946056,8.784169859946282,10.01355833291815,3.0429625140390626,68408,4,1
"[1, 1, 1, 1, 0]",6.97588133726611,8.683969471691373,10.009981742585678,3.1506310841081744,15294,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,9.986904362382884,3.0621467591228497,60974,5,0
"[1, 0, 0, 0, 0]",12.75053297426301,7.232030233599469,10.299448805039885,3.0614201010920103,11961,1,4
"[1, 0, 0, 0, 1]",11.670402344227048,7.6867268215991755,9.954736607394667,3.053404702195782,57631,2,3
"[1, 0, 0, 1, 0]",11.93351249118783,7.097015330200619,10.033730495383432,3.051229724358034,94717,2,3
"[1, 0, 0, 1, 1]",10.326909019309173,8.570356339386935,10.249085803067501,3.130994242243379,56494,3,2
"[1, 0, 1, 0, 0]",11.238942920102065,7.40419644021111,9.684032395987902,3.0608447099691407,54769,2,3
"[1, 0, 1, 0, 1]",10.610284937619198,8.361685707138806,10.089561327755566,2.971273621665353,57277,3,2
"[1, 0, 1, 1, 0]",9.848781763728752,8.644757979096225,10.34498298962752,3.1859377240840168,46398,3,2
"[1, 0, 1, 1, 1]",6.009411420815324,7.965777206081379,10.027600819066885,3.159222117361421,39325,4,1
