Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5.74546130752124,0.4330264295899348,4.9841248585751465,0.3240558410616814,91462,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",5.697199295860521,0.45822767404107156,4.921956976969675,0.30749207724779776,70092,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5.906110523906797,0.5675918969911697,5.025011058470612,0.3098951871466113,2815,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",5.652170709438935,0.921185073016862,4.975957608917634,0.2902686282691945,4578,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",5.6780797450063725,0.445806129080978,4.950664222271191,0.2779249320070778,7263,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",5.573545203981958,0.91719066169431,4.949687136396029,0.285388921541425,17215,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",5.664599267321101,0.7762453064500131,5.016459241666654,0.3251419089543179,44726,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",5.526913671709115,1.4064231809017855,5.024127084335682,0.31145143664367625,20061,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5.6961166656475,0.6990300475457883,4.990359645285842,0.29187963695776187,52344,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",5.647411032401742,0.9652827072670955,4.990601692415312,0.3149733870306733,91921,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",5.569220718135344,1.3768898440577846,5.020666989378355,0.3299398529911907,86712,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",5.499482793630069,1.1305032050503347,4.928078591867758,0.33763503977616954,92174,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5.772822331970832,0.7296721266314653,5.0483610903842004,0.2990680550526669,49721,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5.663828113593375,1.1565262104855263,5.020729173399911,0.32623144342529065,61780,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",5.559814531985417,1.4020070975183923,5.038198352615832,0.26840034631121484,24962,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",4.9932199831698405,1.99447901104672,5.020436367632392,0.29303317922437616,77875,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",5.709044615549907,0.44965116878409,4.980020510629775,0.34363399265647254,10280,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",5.7486608136643,0.7504181678294763,5.038201054169279,0.2881041866343781,48267,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",5.777940118888758,0.49238072135736655,5.058633825539991,0.2871964339403686,65026,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",5.572745703123967,1.0975177091478636,4.976215454431349,0.33091197400590294,27404,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",5.739508149669055,0.5106592675140076,5.014509506628285,0.3408838658379321,60045,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",5.703133280863948,0.8211957786004823,4.999940641974897,0.3586831868945811,11888,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",5.675890108468107,0.9917187186134985,5.027511614181646,0.31677212796946347,62351,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",5.4547877179314,1.3488314111988964,4.989409938703922,0.2791019322619746,53389,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",5.665361139642928,0.9669154597150411,4.984470282028596,0.3370989108120498,79290,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",5.4704687898153255,1.2157297460315932,5.038993774154823,0.3497644675291237,34618,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",5.719689097058724,0.9688955351005599,5.009117327213911,0.3164515414851158,78729,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",5.509405711780205,1.3695561872042594,5.018529214666686,0.2815737115720324,43177,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",5.658321380979064,0.9661637284683546,5.033126355340791,0.31956443669764056,3966,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",5.38191902660323,1.592283286749347,4.991266387827511,0.3166837879027881,3508,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",5.311623529288937,1.758606813631112,5.007564066766712,0.312081679976827,67782,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",5.167608588239179,1.8455894144052143,5.010761086137465,0.33706698551107445,75496,7,3
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",5.715171349414952,0.7523575223976208,5.00484959752044,0.3250821203522472,23666,3,7
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",5.674287687107027,0.9164385324799224,5.014497874718497,0.27562586972965464,18889,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",5.7510545719013555,0.9632340931701798,5.052798087478931,0.28715960122734635,34570,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]",5.818966037019676,0.8400600175724121,5.046075860521777,0.29838153434077735,40806,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",5.675790385044361,0.9299065919150419,5.00575904483166,0.31455035848454205,56490,4,6
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",5.733798800121015,0.7399476384588031,5.044003867508286,0.312890217114687,87447,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",5.648770608347428,1.1153287831127414,5.028082000127312,0.31135433807947105,10761,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",5.316459118870789,1.4493069116369033,4.97222624831183,0.3521435672762744,90888,6,4
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",5.517523079031559,1.0547418589816626,4.967920744359632,0.28453943686735217,22395,4,6
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",5.606330283552568,1.265487773912575,5.03334487198518,0.2831766429686481,65500,5,5
"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0]",5.637109774356893,0.9346932854270201,4.999429130658853,0.3322578471957455,95900,5,5
"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1]",5.001422448853993,1.904593421329578,4.989119960491761,0.2790643984898954,58985,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]",5.5799102093351385,0.9256096950981264,4.991576370075599,0.30574910570493635,26771,5,5
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]",5.579570699221851,0.9846821644118644,4.994615851025399,0.3043964885405904,71018,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",5.183012752576905,1.717491488024309,4.989849331733478,0.31128048627449195,55977,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",5.130121970491408,1.9032368591180249,5.008334283908632,0.3193356252324458,80598,7,3
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",5.512312360864586,1.3755152911576098,4.970230435914629,0.3228665272379277,79979,4,6
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",5.650114419638535,0.7459880702148134,5.002547328787313,0.2939771290337061,4920,5,5
"[1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",5.341314102539782,1.5561153129176395,4.976347096113507,0.3154866395527486,36682,5,5
"[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",5.192311930396576,1.7028889118413286,5.011134632115459,0.30439795781008855,23592,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",5.485748240500398,1.0949589450532444,4.97509222591103,0.34141345337199513,70053,5,5
"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",5.4573939752842895,1.3575448418118454,4.982705810527038,0.28309366302235317,52039,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",5.24830804158786,1.5328683033560817,4.960634354423398,0.33599534581255736,3149,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",5.24484671345944,1.851687992435736,5.032219262347837,0.310996599268056,7382,7,3
"[1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",5.574682579093434,0.989979364302978,4.998469532165488,0.35479236509189527,518,5,5
"[1, 1, 0, 0, 1, 1, 1, 0, 0, 1]",5.330848481540602,1.542180866397756,4.985081523493282,0.3409043020597253,1986,6,4
"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0]",5.2533771465966534,1.714207577820628,5.013115086619472,0.3132802890753771,83370,6,4
"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1]",4.969753370007895,2.0952298931267763,4.987572386036227,0.30815188494959284,6358,7,3
"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0]",5.382452061779409,1.5846289945770884,4.961240962426859,0.31923062475375164,59489,6,4
"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]",4.662524601945188,2.2601890029737937,4.970215618578033,0.3189276499867865,9137,7,3
"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",5.143598167707149,2.0331942704115007,4.939817391432916,0.29339075122206165,96465,7,3
"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",4.149658395226877,2.6531036202721587,4.988313232894886,0.3471819688758704,39096,8,2
"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",5.701180686368284,0.9248654838709444,5.031386978253548,0.3025740251058906,57912,3,7
"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",5.716262370294872,0.7476444628996418,4.963890334313057,0.32912465862390544,99749,4,6
"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]",5.713537041724387,0.8180506807713829,4.992297482693147,0.3086960267391419,80776,4,6
"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1]",5.6375432339463165,0.9770890115924463,5.006146228778422,0.3463721187798419,160,5,5
"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",5.6111364831300445,0.963065744440044,4.940274600798978,0.32370538703108975,6962,4,6
"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",5.565646600876928,1.0975479852805055,4.971400848626202,0.3417365595216047,38140,5,5
"[1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",5.566905988363832,1.3935623477250005,5.0601420962007175,0.3350911046162802,21704,5,5
"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]",5.581977034675245,1.2663728151875076,4.998469979815334,0.33434074546579357,15943,6,4
"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",5.720805355617688,0.45662030581769225,4.949680763877868,0.3093704491143152,9940,4,6
"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",5.471303837447944,1.2803868807294216,4.967631292526084,0.3162258525118683,24900,5,5
"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",5.568830030350134,1.1013591410175776,5.048917971837829,0.32742782381535496,34132,5,5
"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",5.6187361618507214,1.196623661569707,5.002330019412309,0.33237845958845047,31307,6,4
"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",5.475069500470289,1.4877058063386268,4.978818108748989,0.34034230785798625,69427,5,5
"[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",5.377438186945313,1.4654471670854317,4.943675913474819,0.33055956944344456,23853,6,4
"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0]",5.409208418520625,1.346365647336162,4.990154551378459,0.30017183520046287,22670,6,4
"[1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",4.86366158701449,2.205463054599436,5.072531975370968,0.33177362167717106,70325,7,3
"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",5.634240491899339,0.9047224364531881,5.0127425309127505,0.29248032766347654,21355,4,6
"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",5.47630678560431,1.3807232710225783,4.988427881151017,0.30259692316728803,21644,5,5
"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",5.575272661078031,0.9553029503095773,4.979435740975023,0.28047478573718315,52019,5,5
"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",5.552347530671206,1.3023683571912603,5.025697885066362,0.3181404081478163,38304,6,4
"[1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",5.647706293780678,0.7473259061629455,4.998304701255911,0.3452157329861725,68805,5,5
"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",5.477961624924342,1.372684639284925,4.975762286184531,0.3518612976345367,74888,6,4
"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",5.394214754644645,1.2055303087852645,4.935091461418621,0.2865444630117293,97278,6,4
"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1]",4.887102862560901,2.049088570253789,4.926069638475239,0.305844705496822,52270,7,3
"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",5.664301746125947,1.1297876092523846,5.028139679206762,0.32322391666918704,85794,5,5
"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",5.289166399621958,1.7455250332405643,5.015806175181364,0.3059967850809061,65182,6,4
"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",5.304441230543397,1.750500892549587,5.005632563629835,0.3126677071621127,63712,6,4
"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",5.204017618358863,1.7500260396088814,4.9759459950460565,0.3089816554102721,48170,7,3
"[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",5.391551925807022,1.3371347443284018,4.9471042800143765,0.28876510337114925,85781,6,4
"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",5.166813467299327,1.8257822752593786,5.011076294409898,0.3277875279349899,15872,7,3
"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",5.081868427514133,1.9528193988508775,4.997952707771126,0.32648245601092646,47282,7,3
"[1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",4.142723067686916,2.6566383560996654,5.027701877629187,0.30180457054920345,81441,8,2
"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",5.748283781343112,0.4739310553070261,4.959640694856232,0.3339248315643459,97693,4,6
"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",5.707649651236686,0.9584036863622094,4.980561346330321,0.33024199432814644,12207,5,5
"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",5.553544405084052,1.097242337208534,4.989064925243366,0.2999063227821692,26846,5,5
"[1, 1, 0, 1, 1, 0, 0, 0, 1, 1]",5.456453244727572,1.4819592466073865,5.0132210390165195,0.287359198602697,40452,6,4
"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5.660967398181448,1.1113978095467014,5.009015081028735,0.31407254058816797,66131,5,5
"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",5.189600741167429,1.7255335794740165,4.971436161716025,0.32350474073827745,67862,6,4
"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",5.097153063300074,1.9535504970799078,5.008231843118213,0.3255195622895301,15881,6,4
"[1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",4.940322424159939,2.075091682056984,4.985224089970025,0.3572776848636533,79168,7,3
"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",5.638161307992395,1.1082233564367656,5.025369337820811,0.30222788421000635,57081,5,5
"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",5.46008959243233,1.341552354024777,5.018590175109759,0.2933439280103804,95658,6,4
"[1, 1, 0, 1, 1, 0, 1, 0, 1, 0]",5.403402032371185,1.5933382766513713,4.986064235036059,0.3160565873803046,58047,6,4
