Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7.412297171841292,2.4873153230905936,4.924981848750699,6.4553899278251645,1.1801043326485645,83621,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",7.551101654053394,2.6073295106051133,4.94377214344828,6.408887901694133,1.2211879988142105,58501,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",7.718684802980825,2.661611067277013,5.057073735703812,6.372681722955853,1.2594506399451122,32516,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",7.732107668098298,2.775849556150273,4.956258111948024,6.46676946076688,1.2678215243643964,74578,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",7.551208237539429,2.6711888510442576,4.880019386495171,6.370351529903986,1.2754551115907997,7598,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",7.801199197212303,2.813040834709006,4.988158362503297,6.388241378944612,1.2406012281122845,28869,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",7.616992608983247,2.750745325346109,4.866247283637138,6.427003235057032,1.252378965170051,38721,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",7.55599432951349,3.2141692204776815,4.341825109035809,6.409368028651934,1.272033337528291,60679,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",7.761462939720029,2.5352644784974077,5.226198461222621,6.436018219418702,1.237885145421568,30297,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",7.69507907772652,2.7944265195326174,4.900652558193903,6.477034279155358,1.2802897999592853,82748,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",7.711486725935544,2.664310736687526,5.047175989248018,6.463211484243318,1.3108526125722484,14461,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",7.914605985191495,3.1086164952356605,4.805989489955834,6.388623547027511,1.2348315479908818,85331,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",7.927781059621029,2.7352566157619997,5.19252444385903,6.592978442990477,1.2438133747334696,68011,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",7.701876295637094,3.0981843299918244,4.60369196564527,6.401432478085221,1.2142832682721554,22267,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",7.742735044984014,3.2939498626702663,4.448785182313748,6.432672096157413,1.301301115072037,36302,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",7.652025985450018,3.6182933774191266,4.033732608030891,6.299789936134609,1.2983196753630493,77138,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",7.644025067498708,2.400726133936603,5.243298933562105,6.483627515466119,1.2751345635130804,59058,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",7.7742213568486935,2.914505067056817,4.859716289791876,6.440699316861996,1.2736367556430273,17900,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",7.6467600703899565,2.9044518354253586,4.742308234964598,6.3253850550640065,1.2434581287945425,89916,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",8.073428891256196,2.969349460943997,5.104079430312199,6.536378824675038,1.3141251320907454,34541,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",7.640118858493805,2.7342302128396745,4.90588864565413,6.462382975592515,1.3334572059553649,40759,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",7.861088727512873,3.0679901420189837,4.793098585493889,6.428568291252856,1.2323801967047576,68641,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",7.717165712193945,3.0436709893828717,4.673494722811073,6.377439840060061,1.2234476578781157,7724,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",7.699977634581793,3.575873248267483,4.124104386314309,6.377071779066294,1.1936589633788899,33337,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",7.867777312577285,2.9739722074149544,4.893805105162331,6.437448061250524,1.2931429866333792,15169,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",7.97921070602641,3.1198638980724884,4.859346807953921,6.476331090374054,1.2334294083995725,13602,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",7.91124395433522,3.1518416594463696,4.759402294888851,6.529473278569912,1.2597006084403175,23197,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",7.717479596314644,3.829292302963341,3.8881872933513026,6.499202897204238,1.2979024173338016,69216,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",7.8796633478933815,3.4211129927062496,4.458550355187132,6.6239139239438085,1.2683275887887382,61347,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",7.74931274641049,3.668664081209281,4.080648665201209,6.460424412581532,1.1707449854637944,5186,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",7.912099574595927,3.3690171451690736,4.543082429426853,6.40090273228142,1.3131255222201916,20896,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",7.591866473820145,4.210528491673938,3.3813379821462073,6.44247561870234,1.2393766227866352,54049,7,3
