Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",8.861664155827738,3.486070705977047,5.37559344985069,6.3950198474659645,1.2671877313649296,98149,6,4
"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",9.11278913139838,3.504656667707174,5.608132463691206,6.483860930275037,1.3279394745804176,5050,6,4
"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]",8.098468238892355,4.060528873383316,4.03793936550904,6.4329960408921725,1.25009690934567,44080,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",8.717609943652288,3.8572916432583764,4.860318300393912,6.423172551752935,1.1381632320749135,42873,6,4
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",8.381796285508479,3.8628648981031417,4.5189313874053365,6.488258638157274,1.281432525407354,95625,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]",8.169468811945402,4.221924960670225,3.947543851275177,6.485510059352015,1.3697933852308701,56244,7,3
"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",6.945337942213557,4.932585371000955,2.0127525712126024,6.363602127384653,1.2256184304714373,2105,8,2
"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]",9.384391897976089,2.4752319337444386,6.90915996423165,6.396648306734205,1.270965467763062,70737,4,6
"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]",9.46673027231126,3.0013166659796204,6.465413606331639,6.421598609624775,1.1950522942647819,43690,5,5
"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]",9.217778549759212,2.933404287747726,6.284374262011486,6.376104964182117,1.2356735950756113,12524,5,5
"[1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",8.772469835377075,3.6635670235530973,5.108902811823977,6.454914921245706,1.248403679133305,5030,6,4
"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]",9.526077251398688,2.9974444035532772,6.52863284784541,6.4745248904879995,1.2001489380716395,88202,5,5
"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",9.104210922104645,3.7019423124141206,5.402268609690525,6.429590558809553,1.2211260591541844,24036,6,4
"[1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",9.002350358064575,3.5643366944148145,5.438013663649761,6.431392112415823,1.1598720946356806,25280,6,4
"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",7.903715156768635,4.313534786765164,3.5901803700034707,6.385690102160661,1.260685652125262,27297,7,3
"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",9.262578229260448,2.949098513369099,6.313479715891349,6.490001843650952,1.2517889321068183,45804,5,5
"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]",8.65257487029884,3.5949147247298057,5.057660145569034,6.451316341428735,1.3351663055792462,17159,6,4
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",9.019995119061536,3.5050145051141905,5.514980613947345,6.4633338768342705,1.2977252565888506,31995,6,4
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 1]",8.25573135198555,4.137150009686152,4.118581342299398,6.415455133003419,1.2171085391152365,75031,7,3
"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0]",8.528887238908196,3.642713804428062,4.886173434480133,6.386973257438435,1.253822152540828,89087,6,4
