Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",11.505268432907446,4.106671711176315,9.807539421668455,1.8808243966767286,5117,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",12.383574842273203,4.640339592678685,10.302322589342015,2.2263421809192727,93059,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",12.400277052159288,3.921947472061796,10.300709138036868,2.286425110178379,62214,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",12.27149840169859,5.709722549891198,10.169828045681493,2.3079220787633195,58440,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",11.99625879645771,5.274276708687318,10.150658110603688,2.620802019064812,46009,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",12.096755503390503,5.250439004625261,10.009812236525798,2.186998500046798,16744,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",13.14271743285917,5.310871736514556,10.081897169421207,2.4552496073967123,50155,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",13.154190979706364,4.728441228091835,10.161342478413276,2.5251559047166023,51767,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",12.24553665536832,4.556580576295318,9.86006190685942,2.0794889925734994,91386,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",12.438000386764692,5.10767000205673,10.324342048830973,2.0793410836652235,32882,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",11.944494624822928,4.337155860012925,9.721757373754533,2.064663045706176,95592,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",12.354487126009438,5.104660320264257,9.746210999959652,2.131206203624509,68640,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",12.228710774561959,5.176476469519292,10.085814919442186,2.5864738196706574,30856,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",12.801845924981246,5.858210160216007,9.994675913456982,2.1408620255682993,20021,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",12.100564969636046,5.109891998260156,10.156062301833382,2.2962882308515,26869,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",12.619344150922343,7.074551057710244,9.918990413975715,2.1044697548027322,70324,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",12.35620743104886,4.190979352602253,9.808234419939732,2.1565826527707292,19347,3,7
