Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7.458660904731722,2.4118383484936126,6.3914516321916865,1.1790315214545537,35375,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",7.497987844361078,2.539416910466472,6.38894741315601,1.1740209655954685,34369,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",7.6476127047279014,2.534997578402095,6.462660432059245,1.2809657907014782,62996,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",7.81748553108624,2.9596611626638514,6.4376959549999535,1.1982916031810138,49752,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",7.575943823280978,2.5450619200028215,6.449948620763886,1.226162381232819,33154,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",7.666688063647338,2.9309877509900595,6.486322217955301,1.2744331633484645,45111,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",7.650448305423345,2.7918499489859516,6.423114536626895,1.2663029804535375,78128,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",7.78708838439591,3.4099858958089584,6.4389673004231405,1.2985117227197116,98413,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",7.677742955240563,2.454813256136993,6.425165588683084,1.1926863028833317,94402,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",7.731821412901576,2.625677136586598,6.446831552623516,1.2304194916913747,74790,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",7.711870400324769,2.7502225922479506,6.4128624556107265,1.2460635837962233,35753,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",7.823266910881205,3.3179655847779506,6.3850626390095355,1.2795602899584293,80250,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",7.631706760410105,2.698777615954514,6.363301418905531,1.3123433302889336,18216,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",8.08501262332218,3.171849779350789,6.5207432608787,1.2515003713001782,10350,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",7.936629888744213,3.0844103080217193,6.433921170058999,1.2160888200805753,30791,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",7.7606384308296485,3.55820403223858,6.365410581992641,1.2165394659371354,43199,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",7.733879271309027,2.6262064425126646,6.349607405761823,1.242199391743234,77840,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",7.6187985563788745,2.7680782714785175,6.3354360774293434,1.2097275048935894,31981,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",7.528683967015035,2.5628824291545533,6.3436485235799465,1.2215918458863924,44087,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",7.990852594940519,3.2728666213859166,6.475064245553988,1.2719870367606072,74997,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",7.4611626652816385,2.718262345854099,6.35112224342705,1.1802186640281311,88606,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",7.930867840396229,3.0477520585018714,6.583462628735219,1.162509278776607,34103,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",7.822886747819181,3.1208822968390106,6.443041209973619,1.2519493652392188,30894,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",7.594700959148101,3.507276589182015,6.395838060102105,1.2549830296890245,18281,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",7.787845320732367,2.8257312943193993,6.437374150810358,1.259273923307886,53969,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",7.7377697524598625,3.02662946922776,6.370865822149299,1.2843223977511589,19879,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",8.022238890366108,3.186969675289467,6.451467819985596,1.2270291660788955,29910,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",7.648050878696206,3.805514817581662,6.472617678645712,1.2343554372513628,50994,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",7.964352017351679,3.271048366466796,6.39050376789667,1.255577506372677,22979,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",7.794491555026813,3.6648051463725704,6.4914806087457055,1.2627911572071548,39670,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",7.787828568367517,4.00441494347481,6.46902695880152,1.301831515220466,82922,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",7.397027095486778,4.247650850282193,6.353681485552064,1.3222290121325047,34265,7,3
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",7.629358447949536,2.5801201799557916,6.371812127124887,1.2079419994980611,70205,3,7
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",7.814787233582451,3.036837842556682,6.522308504003621,1.2484369484219118,9501,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",7.652332845054756,2.9241083136159105,6.420639743424318,1.1983900421993372,83023,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]",7.761895970151484,3.2429162983713664,6.479861655072602,1.2801026692919082,22664,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",7.568451944950104,2.7086319169862394,6.381896128208718,1.2787324921757914,53356,4,6
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",7.665276881261383,3.1930772106623366,6.418305598960483,1.2346340384869954,86734,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",7.932181150210523,3.0929967306392143,6.5086454746426226,1.2677603568475209,76310,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",7.728060857908539,3.525000205001594,6.491773606950561,1.297343407157723,59656,6,4
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",7.680963757522596,2.733196282065525,6.43067988227725,1.2494884214216373,99229,4,6
