Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",10.033819245643228,2.265116310256357,6.521885573620866,1.2570731067805792,61905,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",9.806051097779779,2.3717185349071697,6.448164354910876,1.279958775425564,70382,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",9.638037389389138,2.4377085878347717,6.391259295791054,1.2243031684094843,36942,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",9.464555550127532,2.736595805330613,6.292053677240122,1.3202284192612097,85868,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",9.493774403436582,2.389797056209366,6.380438900655528,1.2307172165532931,46251,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",9.496964667236025,2.6884735943454583,6.497499107491942,1.238596257807245,91508,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",9.598386061387364,2.7395609915868406,6.440758780465247,1.2774166438938153,62120,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",9.491706325094032,3.0065484680088566,6.399822156191603,1.2388737099994604,85556,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",9.714024744924329,2.2966027651822905,6.4471190644537755,1.246415964634838,30697,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",9.457963801308729,2.6225011954687907,6.4247993585799605,1.2631305117660385,97808,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",9.57514513946906,2.66179419394221,6.511795778365663,1.2342161326922572,49059,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",9.350972197539749,3.027151677877035,6.417582539253936,1.2168630162853407,78531,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",9.552448494659494,2.8507489166797644,6.4630269609873485,1.2351472643309602,41427,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",9.190366349836397,3.276169688681219,6.478224553283034,1.263639235603906,96551,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",9.412152210902988,3.197077048452716,6.48584173574022,1.2126849128974024,38167,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",8.94782357431434,3.4206306768309496,6.360217022137175,1.2061112067185593,30343,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",9.652329639398118,2.1520416322385048,6.355894456793637,1.2705884112951298,1735,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",9.433060433198452,2.868919925842614,6.463184819279345,1.2439822655054629,36100,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9.658777394343241,2.6277674097626273,6.383225981496765,1.1948370426479276,39875,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",9.511371212222729,2.968448433579107,6.380129226474245,1.318025876172056,71903,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",9.549869978756838,2.803854514082504,6.482194509505038,1.3031420009880794,2582,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",9.333256665553778,2.822278262126052,6.379972560986109,1.1981686163310215,41417,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",9.406278923236913,3.1160064957413605,6.427259578191885,1.1776488438156452,62628,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",9.137404849672448,3.694748279531774,6.414889515552477,1.2746316666844053,94714,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",9.525959957184028,2.502953639873445,6.3341087468424355,1.253904253644121,33629,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",9.355806891193897,3.3542543047076516,6.405188273968413,1.287590183245108,94729,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",9.364818468012956,3.074714644423563,6.439826970121196,1.217369375233478,85796,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",9.002095147699587,3.5574689505385257,6.442229787202495,1.2700723546830786,45482,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",9.518568363460744,2.8588853308725035,6.454422195707184,1.1858548551688086,73974,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",8.912378983681164,3.3718503224872727,6.373436000042774,1.2186081039968435,16473,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",8.943060299867314,3.4549930302877927,6.44345087620424,1.2228978954824052,82611,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",8.028704730964305,4.368615258403291,6.414896603126471,1.2885414307315344,78629,7,3
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",9.660630515989244,2.44094729810627,6.420856359051585,1.3101134707177855,61612,3,7
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",9.653435951772694,2.5483250045511485,6.382276577168557,1.1896987681884723,2230,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",9.625540935417472,2.6737966721076996,6.418056872493273,1.2102958745127694,34323,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]",9.387107027433602,2.823785328041533,6.416760897582816,1.1807526734971645,71991,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",9.639207931555223,2.8196491148703418,6.482791288988692,1.212155831308857,21129,4,6
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",9.449285832007446,3.0824168058252863,6.485084087964516,1.2281068382912474,59049,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",9.317815815822254,2.8974547753913655,6.406213158118449,1.3125994265896723,38877,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",8.947294552837354,3.8706694096507532,6.478130523091829,1.2871226543196872,12712,6,4
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",9.397722654572767,2.8873691382798117,6.4363762768399795,1.213552642092073,21727,4,6
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",9.468410055139657,3.1396935561653563,6.404262434132061,1.20187845142646,2104,5,5
"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0]",9.487085593362936,3.0646194774890168,6.502160704788146,1.2383480171655294,44740,5,5
"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1]",8.928565578802951,3.597299255735924,6.470681161581273,1.1902102803684318,39795,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]",9.24303818989451,3.1224614777075907,6.436901793443909,1.291008808135648,63693,5,5
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]",8.899781155603378,3.700403326061195,6.466960988601527,1.2881737652129042,89658,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",9.038105081237488,3.617572510975357,6.447077668079785,1.3041344467646696,84260,6,4
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",8.197317403883524,4.495017996835992,6.500216371643467,1.262763053289081,38867,7,3
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",9.536846450348573,2.43592610944643,6.410629061110011,1.2268654985319094,52263,4,6
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",9.408674320140394,3.173367096607225,6.425930829725064,1.2190961950175774,72233,5,5
"[1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",9.23987785204031,3.3032247745201375,6.389048238421294,1.2672085743498012,48513,5,5
"[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",9.087291476176274,3.4569763856851803,6.523792085097969,1.1274549980157011,47714,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",9.417725794656773,2.878841608203788,6.543524459016189,1.2232637055834426,72052,5,5
"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",9.084714391523397,3.458845774659146,6.433556941994269,1.2120721340524012,37066,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",8.711526152743282,3.396946242442663,6.325385680195496,1.228677343741296,9421,6,4
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",8.111412686158351,4.334278131763682,6.40787265746654,1.2655165373966681,99267,7,3
"[1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",9.28216057718108,3.023552802329973,6.441154708618827,1.2251418507360141,92562,5,5
