Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",5.253274980538262,1.8034563952471365,3.449818585291126,5.031256639192605,0.43288317305011886,16121,2,3
"[1, 1, 0, 0, 1]",4.220230261468259,2.548298137539834,1.6719321239284253,5.021494015473904,0.4403805572957908,79113,3,2
"[1, 1, 0, 1, 0]",4.279351044104727,2.576515218684214,1.7028358254205131,4.973190395445821,0.43676693267106864,82978,3,2
"[1, 1, 0, 1, 1]",2.658057186749045,2.90046996685325,-0.24241278010420508,5.018432721308866,0.45063248987731,73509,4,1
"[1, 1, 1, 0, 0]",4.268763083371883,2.572035469939507,1.6967276134323757,4.994393747716093,0.4667101775097072,83958,3,2
"[1, 1, 1, 0, 1]",2.702965886183936,2.87344034067152,-0.17047445448758403,4.993849406686822,0.44521122034799226,88714,4,1
"[1, 1, 1, 1, 0]",2.8293152969308273,2.8915949171942263,-0.06227962026339906,4.994384342181016,0.4437170302290677,44423,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,0.0,5.035968606382639,0.4302490357390577,31838,5,0
"[1, 0, 0, 0, 0]",5.369835016471154,1.549013294934758,3.8208217215363964,5.003792649132043,0.4330917809837725,37764,1,4
"[1, 0, 0, 0, 1]",4.9095872852598355,2.041500217800353,2.8680870674594825,4.990405794533763,0.46877382748595253,16822,2,3
"[1, 0, 0, 1, 0]",4.953866264908946,2.017591334271187,2.936274930637759,5.008139367678074,0.43761680010996534,55785,2,3
"[1, 0, 0, 1, 1]",4.1613348124251175,2.5779283813819527,1.5834064310431648,4.999344886349184,0.4579823077296251,55930,3,2
"[1, 0, 1, 0, 0]",4.896104174342268,2.0513149632356913,2.8447892111065767,4.971549796700936,0.4463782466833597,30789,2,3
"[1, 0, 1, 0, 1]",4.264308664320515,2.5244854277263906,1.7398232365941242,5.033780316165075,0.455622579245904,71039,3,2
"[1, 0, 1, 1, 0]",4.325198300833226,2.485022234782361,1.8401760660508653,5.004743526129891,0.42714013868333317,76386,3,2
"[1, 0, 1, 1, 1]",2.8474966330701923,2.9092648857834975,-0.061768252713305216,5.011711079502936,0.458200764031566,4759,4,1
