Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",14.095644665196751,7.928063498958019,10.443969569580604,3.079050426032953,81471,2,3
"[1, 1, 0, 0, 1]",11.084694148509772,8.35464905365893,9.775897721866913,2.7027962628780373,17745,3,2
"[1, 1, 0, 1, 0]",12.470433397375487,9.427279881962628,10.517463087867284,3.0625245128555525,42344,3,2
"[1, 1, 0, 1, 1]",6.5281262781279805,8.197622173630874,9.592579288803737,2.891427501397744,87541,4,1
"[1, 1, 1, 0, 0]",12.21242554024085,9.335625687669955,10.228533472649199,3.4295442156859126,54915,3,2
"[1, 1, 1, 0, 1]",7.644625811503008,8.680934083556323,10.156760663964809,3.413027621458611,94375,4,1
"[1, 1, 1, 1, 0]",7.679253782934338,9.051461482761262,10.303643409530821,2.7812717645539418,25609,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,10.091710130111007,3.0742512706276948,3088,5,0
"[1, 0, 0, 0, 0]",16.136417532687584,6.642958521883727,10.493000493738077,3.1934219931286667,85884,1,4
"[1, 0, 0, 0, 1]",14.47259648948235,7.326209472616351,10.806888608064032,3.574647224206855,34538,2,3
"[1, 0, 0, 1, 0]",14.046895638068788,8.251572646087672,10.60687054918616,3.1393628669597518,42506,2,3
"[1, 0, 0, 1, 1]",10.600240779368857,7.896369218351845,10.03901751039499,2.978932920143908,98512,3,2
"[1, 0, 1, 0, 0]",13.62315342748257,7.421897982395764,10.377883789021583,3.3423985034162844,87630,2,3
"[1, 0, 1, 0, 1]",11.244898825128613,7.865002315277937,9.702953221850857,3.0509007816190725,38332,3,2
"[1, 0, 1, 1, 0]",11.089422743643109,8.822418556288348,10.33749419169355,3.2549572622548384,73289,3,2
"[1, 0, 1, 1, 1]",8.28760758621571,9.014879442387228,10.31242325282206,2.8581043932118235,49595,4,1
