Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7.370567753030465,1.9356567086603256,6.616595669731813,1.2062363746577374,65419,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",7.446536388124056,2.425048163545505,6.352782526279233,1.2753720347317676,54739,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",8.141162391068452,2.6819896975273956,6.32267260635137,1.1130805457812825,29992,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",7.75114675911731,2.4770629979751115,6.551745355991154,1.2652088166748325,56929,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",7.71301260554289,2.330844792142096,6.58113562943808,1.2686765281533363,91907,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",8.17949397274165,2.9254638082899422,6.625637813976857,1.1559112836795467,17324,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",8.064546622932955,2.734129631648403,6.569054157160599,1.3387695940955489,73090,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",7.333447973144295,3.083373728756072,6.419042705129945,1.2042174685220115,36779,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",7.687067771724152,2.5645732828862418,6.38424192708067,1.2077636021412972,94423,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",7.698270510406615,2.9310875260737426,6.3262408642443555,1.2506914530952564,21353,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",7.519920594977474,2.9169751344633696,6.44323855049737,1.1189340991655348,80371,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",7.799740564329203,2.9165693554803256,6.287975169521843,1.171687341831913,54942,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",8.033037204001841,2.767074934003793,6.629584398510052,1.4461737080170864,96559,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",8.431958967010715,3.4291460770248685,6.542123187281984,1.2763210124045419,51490,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",8.627839626519716,2.4247381819939893,6.715629917095582,1.3294137769257897,99271,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",8.419525945020858,4.097196962326506,6.532006654155643,1.17886489431653,28455,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",7.978561133080588,2.3607201209916,6.7084214342356,1.183752614975617,58593,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",7.028690251711728,2.557158217068964,6.358921275961634,1.3549842037281685,68452,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",7.883927236539168,3.264926299531855,6.402815359383572,1.269091986258277,14519,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",7.586105271839955,3.3489277121067564,6.399183521761054,1.1850463654997263,35925,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",7.460483760341175,2.979226030111965,6.494544748120153,1.3251444238469448,40645,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",7.701495172802643,3.0691479362735548,6.57135346143031,1.2733070267614293,44825,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",7.900715285381709,3.3545148316264384,6.584711403969344,1.2385392855337338,63881,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",7.9078215305954735,3.3504365416335427,6.364210450867023,1.2450396213951873,66119,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",7.562157172695071,3.017228075756786,6.438899970807688,1.1548202741410738,14680,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",7.399610265512996,3.19921969423708,6.406283776972259,1.27701399538925,92313,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",8.039372905612971,3.0038558634226202,6.508724143562156,1.167754868528713,84019,5,5
