Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",11.96237751458464,4.322134699103652,7.640242815480988,10.074604160011997,2.045888966586705,99361,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",12.619295762792714,5.133495278410341,7.485800484382373,10.124280383890966,2.245279396418898,55161,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",11.935581257713277,4.387502860583411,7.548078397129866,10.21982251522248,2.2537027576771838,54690,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",12.49625666511363,4.994986041095976,7.501270624017654,10.25447768202913,2.210531357377073,73142,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",12.046621488583796,4.688603687659549,7.358017800924246,10.107768524610997,2.1317193764254636,65758,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",12.473765422896077,5.020622655091964,7.453142767804113,10.092233430735673,2.1909859700748946,27057,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",12.138079477324904,4.751846449848423,7.386233027476481,10.013227373133716,2.219156615114629,27858,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",12.941684687289763,6.000085017492033,6.94159966979773,10.050259365406005,2.1726667162710536,89917,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",12.292927125105523,4.890781850836494,7.402145274269029,9.979239688169567,2.1763323668060304,83988,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",12.491385594919329,5.5221723999069345,6.969213195012395,10.166755875439783,2.2112626150143213,66725,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",12.472946842469096,5.010783959464793,7.462162883004303,10.129361654137883,2.2059296298736357,68221,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",12.539425610180412,5.91309247879138,6.626333131389033,10.121792421667188,2.3718467198663244,46114,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",12.521869009997253,5.2608012821189645,7.261067727878289,10.173631532080856,2.2724518968021994,85890,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",12.71494414251494,5.45128651354141,7.2636576289735295,10.15585266729562,2.24844799601725,60852,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",12.54729101239254,5.517708477511825,7.029582534880715,9.965634493690889,2.236949035611406,26120,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",12.634024869962877,6.683270039117422,5.950754830845455,10.035190779166108,2.0875046866079305,55316,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",12.38823927293938,4.938765175154673,7.449474097784707,10.162759430538818,2.1864550400260407,12724,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",12.609277494082805,5.284195190295164,7.325082303787641,10.072357112158251,2.0616769611888857,23903,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",12.412039716130845,4.936779216185945,7.4752604999449,10.062075392764685,2.226175990279569,93874,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",12.68702441024664,5.769965197876385,6.917059212370255,10.175000957822016,2.170093372494582,35729,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",12.19091495984642,4.940893122229719,7.250021837616702,10.1135294386153,2.269191897041095,97367,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",12.537862507478108,5.4988154245111724,7.039047082966936,10.047843529457726,2.0954046554934203,82232,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",11.906920856528675,5.5075980340271125,6.399322822501563,10.031895143950774,2.224047681910859,53633,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",13.11280090363177,6.397170636106951,6.715630267524819,10.148254236722439,2.14325999747712,22030,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",12.752125795781803,5.562679551728742,7.189446244053061,10.204402653283745,2.260147071533415,7506,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",12.886511178153901,5.3235786048930605,7.562932573260841,10.062336728413564,2.25789557116915,56234,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",12.505779283954473,5.598137008721178,6.907642275233295,10.155695968909216,2.1986198761505285,75932,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",13.109834991050612,6.419461186940479,6.690373804110132,10.117272202366074,2.1280034715485807,20564,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",12.841743200336005,5.599247118095042,7.2424960822409625,10.075748572878016,2.234418856147521,10697,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",12.681623187635127,6.269257888850417,6.41236529878471,10.199920395877088,2.2268915625114287,31797,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",12.524454569025714,6.09199664930507,6.432457919720644,9.931749870873608,2.196605110157903,76309,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",12.074871918406325,7.319659310515791,4.755212607890534,9.965183860252509,2.184581817036509,22878,7,3
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",12.219767577552181,4.852361713700851,7.367405863851331,10.102406165038579,2.3090571264314637,73727,3,7
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",12.434340158025256,4.984120042025854,7.450220115999402,10.104989775733072,2.184793058455654,58583,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",12.206326125166566,4.90600986756493,7.300316257601636,10.112406997960656,2.1209092927480238,4655,4,6
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]",12.513577816460314,5.625029709685053,6.888548106775262,9.91332660997356,2.1998201224513845,41687,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",12.440378509253305,4.772001601179031,7.668376908074274,10.120394850184477,2.2322466641222722,9382,4,6
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",12.468817538970312,5.328623468656293,7.140194070314019,10.128230383863954,2.1450397356151045,96589,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",12.74190705182221,5.847965771486093,6.893941280336117,10.037438777268665,2.2511148014762714,53260,5,5
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",13.019165709620365,5.654022117808085,7.36514359181228,10.368117638650213,2.107435089815266,10025,6,4
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",11.980099935913747,4.620491151120313,7.359608784793434,9.980182367937308,2.1834758424333045,2880,4,6
