Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5.204402119223241,0.48092146696853383,4.980835783929863,0.3012126705425822,34459,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",5.2749145359627665,0.5903946350401063,4.955891878324752,0.30873597901368494,54755,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5.091367570177262,1.0631096171797716,5.024502573476542,0.32965336063184497,49699,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",5.249906218117328,0.7282001043944725,5.016179535466461,0.3141886945365986,50030,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",5.095803293884461,1.1718660626904565,4.989541684724335,0.31999341630247957,86451,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",5.411245856967283,0.610642058790422,5.028649511539926,0.3058724017911973,71173,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",5.269060052081759,0.6193356181042353,4.985524852029101,0.3158297021779242,64820,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",5.1978320236146764,1.2116930294276187,4.974175622751236,0.2825977389072429,93146,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5.067753434566168,0.8543046464268932,4.984103611219732,0.29356607287833886,30399,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",5.333576761579696,0.8919580354977943,5.000813003879824,0.34914014816565025,49911,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",5.392605361073817,0.818221458065267,5.025518888011156,0.33948306333189576,98329,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",5.290812711387769,0.9690667751434812,5.001017119900001,0.302530817040013,58227,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5.192147949711356,1.059880052318833,5.030353723790451,0.31813654594392204,89423,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5.167444160019626,1.074317001144107,4.968864237240882,0.3169923856176722,66134,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",5.118136422115265,1.3985695975782098,5.050948111362442,0.29272706160906625,23841,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",5.004730584082518,1.613332442341828,5.020028813834209,0.3281743839328632,34608,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",5.355123799302443,0.5705213242847422,4.999679762329955,0.299979395106505,18065,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",5.3720229247734235,0.567845887973386,5.004205867582165,0.33141987798260647,57816,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",5.196004148958255,1.1267739514519766,4.987356772934458,0.32430354123402466,76358,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",5.361903115788847,0.8257603250749971,4.987956879454118,0.27296504395458543,31357,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",5.2834828413742185,0.45355147556045416,5.016364705594037,0.2803379553955962,84691,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",5.243841272018542,0.9286902614400991,4.985591687631494,0.31770506990165076,16006,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",5.283370016884432,0.7829960784766938,4.993523505469044,0.331523756999748,21368,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",5.154197231241077,1.3615364181880143,4.9874388856226455,0.33070469640699274,77859,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",5.1302282050258405,1.0994918272186553,4.986858949463859,0.32892481999423334,88143,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",5.339704898289462,0.9459189975628332,5.035228686570096,0.2519320438456191,1586,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",5.139137217003498,1.0938391257372824,4.962640222517538,0.3506974256020295,99087,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",4.933254891101038,1.4612461198217146,4.983475381861215,0.31720013512739237,84582,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",5.2523810414695875,1.1624077706583065,5.015354050277959,0.308386076343278,55069,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",4.855654853970568,1.622325802056636,4.941223616565884,0.2869003341014497,13462,6,4
